date	impfstoff	region	dosen	einrichtung
2021-04-03	astra	DE-HH	38400	impfzentren
2021-04-03	astra	DE-HE	129600	impfzentren
2021-04-03	astra	DE-MV	31200	impfzentren
2021-04-03	astra	DE-NI	165600	impfzentren
2021-04-03	astra	DE-NW	384000	impfzentren
2021-04-03	astra	DE-RP	86400	impfzentren
2021-04-03	astra	DE-SL	16800	impfzentren
2021-04-03	astra	DE-SN	84000	impfzentren
2021-04-03	astra	DE-ST	45600	impfzentren
2021-04-03	astra	DE-SH	57600	impfzentren
2021-04-03	astra	DE-TH	45600	impfzentren
2021-04-07	comirnaty	DE-BW	239850	impfzentren
2021-04-07	comirnaty	DE-BY	286650	impfzentren
2021-04-07	comirnaty	DE-BE	81900	impfzentren
2021-04-07	comirnaty	DE-BB	52650	impfzentren
2021-04-07	comirnaty	DE-HB	17550	impfzentren
2021-04-07	comirnaty	DE-HH	40950	impfzentren
2021-04-07	comirnaty	DE-HE	134550	impfzentren
2021-04-07	comirnaty	DE-MV	35100	impfzentren
2021-04-07	comirnaty	DE-NI	175500	impfzentren
2021-04-07	comirnaty	DE-NW	386100	impfzentren
2021-04-07	comirnaty	DE-RP	77220	impfzentren
2021-04-07	comirnaty	DE-SL	23400	impfzentren
2021-04-07	comirnaty	DE-SN	87750	impfzentren
2021-04-07	comirnaty	DE-ST	46800	impfzentren
2021-04-07	comirnaty	DE-SH	64350	impfzentren
2021-04-07	comirnaty	DE-TH	46800	impfzentren
2021-04-07	comirnaty	DE-BW	126684	arztpraxen
2021-04-07	comirnaty	DE-BY	149688	arztpraxen
2021-04-07	comirnaty	DE-BE	38364	arztpraxen
2021-04-07	comirnaty	DE-BB	26148	arztpraxen
2021-04-07	comirnaty	DE-HB	7116	arztpraxen
2021-04-07	comirnaty	DE-HH	19824	arztpraxen
